,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
1152,reputation,3,11,32661087,16473,-1,1262,683553,19,1586
1153,reputation,0,11,37471953,16473,0,1262,683553,19,1586
1154,reputation,0,11,30404261,16473,0,1262,683553,15,1586
1235,reputation,0,19,34472733,7164,1,431,1596371,19,335
1236,reputation,0,19,36988426,7164,1,431,1596371,17,335
1241,reputation,0,571,37466249,41898,0,2195,37947,19,3435
1244,reputation,2,758,25726485,21370,0,829,978756,18,3847
1255,reputation,0,1440,13199838,88724,0,2323,14357,20,8090
1256,reputation,1,1440,33375247,88724,0,2323,14357,12,8090
1257,reputation,0,20,37213268,17320,0,3275,2120261,15,816
1258,reputation,0,20,23653190,17320,1,3275,2120261,20,816
1266,reputation,3,319,34888017,24812,0,1280,31667,10,2322
1267,reputation,0,319,36572706,24812,2,1280,31667,20,2322
1268,reputation,0,319,33771746,24812,1,1280,31667,10,2322
1270,reputation,0,573,30827959,14571,1,2446,15371,17,1260
1271,reputation,0,573,34655850,14571,0,2446,15371,19,1260
1272,reputation,0,573,33067682,14571,0,2446,15371,18,1260
1298,reputation,0,66,22075789,17545,0,637,47775,18,2526
1317,reputation,0,317,37252735,8016,0,4614,180430,15,948
1318,reputation,0,1,37659593,18125,0,626,31751,15,1047
1326,reputation,4,21,37764847,6940,0,1198,499699,9,615
1333,reputation,0,71,33632499,12492,0,494,178757,13,1220
1349,reputation,0,30,37393059,24342,0,2900,33051,15,3170
1357,reputation,0,664,31535822,77709,0,6365,370103,18,5029
1358,reputation,1,664,33038944,77709,0,6365,370103,15,5029
1374,reputation,0,1,36722974,20711,0,81,200609,17,916
1387,reputation,4,9,36383540,8830,0,369,26107,17,798
1390,reputation,0,345,31612292,24088,0,590,1153938,10,1344
1404,reputation,0,46,37379076,9346,0,1683,276193,17,749
1420,reputation,0,28,31291218,18934,0,2052,15825,19,1265
1434,reputation,0,273,37114988,76835,0,2898,5133585,16,4531
1435,reputation,0,273,37769743,76835,0,2898,5133585,3,4531
1436,reputation,0,273,37358523,76835,1,2898,5133585,20,4531
1437,reputation,0,273,36967604,76835,1,2898,5133585,20,4531
1438,reputation,0,273,35251997,76835,0,2898,5133585,18,4531
1439,reputation,0,273,33181901,76835,0,2898,5133585,16,4531
1440,reputation,0,273,37266602,76835,0,2898,5133585,12,4531
1441,reputation,1,273,35827330,76835,1,2898,5133585,16,4531
1442,reputation,0,273,37083918,76835,1,2898,5133585,13,4531
1449,reputation,0,21,36114490,12306,0,142,48886,19,1239
1471,reputation,0,16,24939395,10656,0,2412,141022,19,991
1472,reputation,0,16,35887536,10656,0,2412,141022,15,991
1485,reputation,0,50,36176739,20619,0,969,436028,20,2733
1486,reputation,0,50,36691114,20619,1,969,436028,19,2733
1495,reputation,2,6,36131376,22418,0,401,478144,18,2916
1496,reputation,7,6,33922987,22418,0,401,478144,20,2916
1497,reputation,0,6,36845567,22418,0,401,478144,14,2916
1500,reputation,0,11,33688028,7196,0,2555,1000,14,2168
1544,reputation,0,21,31593206,12643,0,696,180416,19,607
1547,reputation,0,46,36445618,39628,1,1494,11898,17,2328
1548,reputation,0,46,26648659,39628,1,1494,11898,16,2328
1555,reputation,0,277,37261378,13736,1,1961,3536236,18,2198
1556,reputation,5,277,35486603,13736,1,1961,3536236,13,2198
1557,reputation,0,277,35875750,13736,0,1961,3536236,17,2198
1568,reputation,1,18,34121531,8173,0,59,1320129,18,1296
1569,reputation,4,18,23539106,8173,0,59,1320129,18,1296
1570,reputation,2,18,29328060,8173,0,59,1320129,19,1296
1571,reputation,0,18,33296677,8173,0,59,1320129,19,1296
1572,reputation,2,18,36668213,8173,0,59,1320129,19,1296
1573,reputation,0,18,34696194,8173,1,59,1320129,17,1296
1574,reputation,0,18,37298722,8173,0,59,1320129,17,1296
1575,reputation,0,18,37316193,8173,0,59,1320129,17,1296
126,views,0,16,37544056,30425,1,644,274,20,1883
127,views,0,16,35012155,30425,0,644,274,18,1883
141,views,0,94,37257134,108446,1,917,6068,18,10355
142,views,0,94,36912191,108446,0,917,6068,19,10355
